embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,DP_Lower,DP_Upper,LCA_F1,LCA_F1_Lower,LCA_F1_Upper,TED
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,5,0.79169282769559,0.9111039376884108,0.7349397242259882,0.7303067740476124,0.791134902826251,0.232427277125009,1.0,0.6273088721274994,0.09995453057272319,1.0,984
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,13,0.5911366717818419,0.9290612130142086,0.5522588829524946,0.6871655252106228,0.6676439982620596,0.054042510209686756,1.0,0.5377788256495598,0.042322719183885305,1.0,984
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,38,0.44752599956084343,0.9679191809802482,0.43061562272925424,0.6609649950778487,0.4958375818568828,0.0,1.0,0.44954262485621155,0.0,0.9988490606379322,984
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,120,0.41067530469111285,0.9897379560257619,0.4051258892904809,0.5760396766393479,0.46131040306113863,0.0,1.0,0.46318772644173456,0.0,1.0,984
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,350,0.46743137730491474,0.9974054192894494,0.4626844002103355,0.5552592073784539,0.5627394563253488,0.0,1.0,0.5618483417632485,0.0,1.0,984
Qwen/Qwen3-Embedding-0.6B,PCA,DC,5,0.657146494441411,0.8482508707898806,0.5590289584300818,0.5944571052229222,0.6969960513000545,0.08375965431960952,1.0,0.5498884518153978,0.00782224689347022,1.0,1138
Qwen/Qwen3-Embedding-0.6B,PCA,DC,13,0.6173151475121522,0.9321382642515372,0.5797933084876161,0.6828448405524581,0.6143378233759226,0.0,1.0,0.47306591896242767,0.0,1.0,1138
Qwen/Qwen3-Embedding-0.6B,PCA,DC,38,0.4146512551816186,0.9644932931390261,0.39504955141459785,0.6146607197765624,0.42424440995685725,0.0,1.0,0.371751493142601,0.0,0.8826189572161365,1138
Qwen/Qwen3-Embedding-0.6B,PCA,DC,120,0.3634273207212633,0.9887678084557299,0.3572182881909583,0.5119652697820767,0.38384853107573524,0.0,1.0,0.35820706464545415,0.0,0.9259502458327666,1138
Qwen/Qwen3-Embedding-0.6B,PCA,DC,350,0.23428637442840675,0.9961124676979041,0.22939802274850002,0.3056357596057382,0.31418952505834735,0.0,0.96047845020655,0.3382292591059032,0.0,0.9166000520707424,1138
