embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,6,0.47829086517449265,0.23796341294084977,-0.0012785829129317572,-0.0017369960222972322
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,28,0.19886767845349915,0.10565040067222757,0.0015648584322343732,0.007595980002726189
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,129,0.090165574093668,0.5120212765957447,0.007363527638913502,0.16946928771773626
Qwen/Qwen3-Embedding-0.6B,PCA,DC,6,0.3191533464388908,0.6111496806442654,0.054700398406751456,0.1155151149459331
Qwen/Qwen3-Embedding-0.6B,PCA,DC,28,0.18140466291495674,0.863423031992294,0.10270976794571893,0.30292842193706837
Qwen/Qwen3-Embedding-0.6B,PCA,DC,129,0.11844082537155472,0.9538548185231539,0.07190145055237906,0.28328920464976975
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,6,0.51803481412674,0.4278354392298436,0.12034334334616618,0.33229588449262126
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,28,0.3488701002713922,0.9245002942459545,0.29831625162752035,0.4878408786915698
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,129,0.08685393933049049,0.9370994993742178,0.041886639424893374,0.21101605484752722
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,6,0.5233768363574265,0.4201668518004258,0.12089540403542795,0.32673376044254104
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,28,0.23443665986987253,0.5296017285851893,0.05274883761958586,0.3802839010089238
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,129,0.22791347925411573,0.9335763454317897,0.12234027941357581,0.5161013662590023
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,6,0.36779776780305923,0.5357973479589003,0.04769475484747652,0.08241204944479052
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,28,0.17161797846092203,0.8482510664585963,0.08712025351963569,0.2832320748288561
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,129,0.14040329821500777,0.951267209011264,0.08462253135692248,0.310937873580899
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,6,0.2765079591837762,0.7851725215217995,0.11730845593516072,0.42867616973023603
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,28,0.4279529346458679,0.9315709806149008,0.37617046073102856,0.5896391171451602
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,129,0.13045859552390857,0.8604568210262828,0.043284752029731074,0.31385380047156536
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,6,0.49892957465701865,0.48697699713042675,0.13667542352514253,0.38518568383075386
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,28,0.317213051727519,0.7484006780832145,0.15154833178175486,0.4987743489594793
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,129,0.2688549107774206,0.9394649561952441,0.1511109027101191,0.5396001288022019
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,6,0.4166565546175731,0.39526925391095064,0.013327339230215163,0.11602862068183786
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,28,0.15054942637405178,0.6395150358218831,0.019582262687214216,0.19007912953637865
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,129,0.07523127982359333,0.9274405506883604,0.031602540505698946,0.17400133383682534
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,6,0.23154786356251636,0.7798586040914561,0.08405379439592583,0.40687125817149583
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,28,0.510696793265732,0.9357314134638751,0.45052144617220596,0.6817901254474904
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,129,0.085452863329806,0.024543178973717147,0.00010686613136104603,0.004206109241131509
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,6,0.6172010682478513,0.7863643200962696,0.4675719059192284,0.6080035377709522
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,28,0.4636748485281495,0.9056626975180866,0.3672903596933322,0.6930637404317078
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,129,0.3532607817455858,0.9677628285356696,0.25461048182024626,0.6021354018874787
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,6,0.29175958509780653,0.6051646533370361,0.024529025233698504,0.03235883060512376
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,28,0.18736692402477492,0.6922275150709557,0.05189365521420278,0.196717213025816
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,129,0.14562175383639525,0.9596683354192741,0.09624753105243843,0.30893151386910284
Qwen/Qwen3-Embedding-0.6B,UMAP,HDBSCAN,6,0.22005142821225745,0.7787188743867445,0.07429316334089625,0.40267318489326903
Qwen/Qwen3-Embedding-0.6B,UMAP,HDBSCAN,28,0.5709379926608898,0.9504729893925066,0.5271944490450775,0.7013651038856926
Qwen/Qwen3-Embedding-0.6B,UMAP,HDBSCAN,129,0.11645598780201352,0.7055225281602002,0.02164918798942857,0.2539748688486918
Qwen/Qwen3-Embedding-0.6B,tSNE,Agglomerative,6,0.4801059552518983,0.2378679533462927,0.00027706495390444755,0.0004653851546167498
Qwen/Qwen3-Embedding-0.6B,tSNE,Agglomerative,28,0.19867303451407617,0.07624044432603037,9.086390816256197e-05,0.0015197607920002809
Qwen/Qwen3-Embedding-0.6B,tSNE,Agglomerative,129,0.11187364385284489,0.6325093867334167,0.016669576480871622,0.27252678229181687
