embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1,TED
Qwen/Qwen3-Embedding-0.6B,Hercules,direct,5,0.456735524830369,0.2174334713187463,-0.0006384379708341093,0.003623014714347748,0.5498293804125115,0.44611526617475894,987
Qwen/Qwen3-Embedding-0.6B,Hercules,direct,16,0.33585212492913347,0.7023398383599448,0.1577124407854229,0.33894958922545626,0.2973011070586475,0.3070671704755233,987
Qwen/Qwen3-Embedding-0.6B,Hercules,direct,53,0.24405961571138354,0.9068273211117682,0.15853649889269503,0.4801544808050892,0.24928045513576513,0.24860868825599916,987
Qwen/Qwen3-Embedding-0.6B,Hercules,direct,156,0.2596432655641442,0.9838665483934556,0.23107344333852048,0.4745523266729148,0.2759916541105611,0.28520380356563757,987
Qwen/Qwen3-Embedding-0.6B,Hercules,direct,474,0.36081008347342247,0.9975547013601419,0.35422843167929396,0.43620723407596473,0.3382217736661262,0.3924111814328363,987
sentence-transformers/all-MiniLM-L6-v2,Hercules,direct,5,0.456735524830369,0.2174334713187463,-0.0006384379708341093,0.003623014714347748,0.5498293804125115,0.44611526617475894,987
sentence-transformers/all-MiniLM-L6-v2,Hercules,direct,16,0.33585212492913347,0.7023398383599448,0.1577124407854229,0.33894958922545626,0.2973011070586475,0.3070671704755233,987
sentence-transformers/all-MiniLM-L6-v2,Hercules,direct,53,0.24405961571138354,0.9068273211117682,0.15853649889269503,0.4801544808050892,0.24928045513576513,0.24860868825599916,987
sentence-transformers/all-MiniLM-L6-v2,Hercules,direct,156,0.2596432655641442,0.9838665483934556,0.23107344333852048,0.4745523266729148,0.2759916541105611,0.28520380356563757,987
sentence-transformers/all-MiniLM-L6-v2,Hercules,direct,474,0.36081008347342247,0.9975547013601419,0.35422843167929396,0.43620723407596473,0.3382217736661262,0.3924111814328363,987
