embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,7,0.42311343585336103,0.18259723614399695,-0.0003953972148029018,-0.0004984628083023498
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,19,0.2386556945677292,0.07417634229914527,-6.885556746169174e-05,0.0016309853306781983
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,58,0.13364070068732228,0.06655224974602086,0.00010725678311538624,0.0020122822875135115
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,169,0.0727555613003417,0.1963313467186507,0.0006161896013414733,0.034296254579952036
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,517,0.044741972746260586,0.6663725977587543,0.0029908113091619394,0.17015643281393808
Qwen/Qwen3-Embedding-0.6B,PCA,DC,7,0.30543523454899474,0.5300626613054832,0.018659986518276387,0.06125276845820279
Qwen/Qwen3-Embedding-0.6B,PCA,DC,19,0.16422650171012956,0.8513680542883605,0.08317797585397692,0.22985756501887006
Qwen/Qwen3-Embedding-0.6B,PCA,DC,58,0.09779546916654762,0.9127586525853016,0.04935846349146495,0.27224220020542
Qwen/Qwen3-Embedding-0.6B,PCA,DC,169,0.0785422301460801,0.9337547017501675,0.03345048324009739,0.25376313507867965
Qwen/Qwen3-Embedding-0.6B,PCA,DC,517,0.04529420686491881,0.9568710110318945,0.013708342848035434,0.15850095554215843
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,7,0.17028326436943592,0.8250807336083946,0.04815166960596277,0.29523776501689436
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,19,0.24087221130989225,0.07599153953591394,0.0011254342961695843,0.015963469155160906
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,58,0.16167728032666004,0.7531579303284901,0.049150907178078004,0.3355883628547361
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,169,0.07296468211735443,0.9519707888307926,0.03692893479013639,0.18680363352279156
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,517,0.0,0.9984702669513483,0.0,7.745448009678312e-12
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,7,0.4202114949912775,0.1893767281711012,-0.0009182026243959162,0.008573939271141168
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,19,0.23733024650011691,0.07922446510976683,-0.0003747432382093617,0.007260119216471414
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,58,0.1628125782166588,0.48509509740595386,0.023899843791728406,0.30970889379776617
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,169,0.134639507297973,0.804079225768249,0.03397490169181784,0.44450599978158595
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,517,0.08603162516399596,0.9211789960085175,0.020522091278729407,0.3515820945727983
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,7,0.42442054215848934,0.18013279660610598,0.0,0.0
