embedding_model,cluster_method,representation_mode,level,level_idx,FM,Rand,ARI,AMI
Qwen/Qwen3-Embedding-0.6B,HERCULES,direct,517,1,0.41129320620937876,0.9977317421044414,0.40228327985249485,0.5279921970018079
Qwen/Qwen3-Embedding-0.6B,HERCULES,direct,169,2,0.321151539354895,0.9868379620882927,0.2928021978300886,0.5644182203861339
Qwen/Qwen3-Embedding-0.6B,HERCULES,direct,58,3,0.23920241093659267,0.8836876604615697,0.13522150025937493,0.540877584249598
Qwen/Qwen3-Embedding-0.6B,HERCULES,direct,19,4,0.30770865580695145,0.6176551936255017,0.11015443756298103,0.4307358540995205
Qwen/Qwen3-Embedding-0.6B,HERCULES,direct,6,5,0.4683428334390164,0.39958208037360843,0.10653534675606512,0.29711339039501433
sentence-transformers/all-MiniLM-L6-v2,HERCULES,direct,517,1,0.41129320620937876,0.9977317421044414,0.40228327985249485,0.5279921970018079
sentence-transformers/all-MiniLM-L6-v2,HERCULES,direct,169,2,0.321151539354895,0.9868379620882927,0.2928021978300886,0.5644182203861339
sentence-transformers/all-MiniLM-L6-v2,HERCULES,direct,58,3,0.23920241093659267,0.8836876604615697,0.13522150025937493,0.540877584249598
sentence-transformers/all-MiniLM-L6-v2,HERCULES,direct,19,4,0.30770865580695145,0.6176551936255017,0.11015443756298103,0.4307358540995205
sentence-transformers/all-MiniLM-L6-v2,HERCULES,direct,6,5,0.4683428334390164,0.39958208037360843,0.10653534675606512,0.29711339039501433
