embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1,TED
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,6,0.47644894912692715,0.7989581375365861,0.3519027661062354,0.5130563353519934,0.5774526993572092,0.49976671937438355,686.0
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,30,0.3680378261069231,0.9523106253859993,0.34320125524155637,0.5553888310017732,0.4201760099117079,0.3738249974186853,686.0
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,137,0.3923572382938758,0.9909374076958192,0.38680200404354015,0.5084532348916916,0.47461369704502976,0.4294143784142396,686.0
Qwen/Qwen3-Embedding-0.6B,PCA,DC,6,0.45159861759041264,0.7973738621411884,0.3273237850540382,0.42481133193109183,0.4806036703136801,0.4011315845135147,716.0
Qwen/Qwen3-Embedding-0.6B,PCA,DC,30,0.3408537743191747,0.9492673845134842,0.31447205312734827,0.5029120575848169,0.36994001431063744,0.31333343707717376,716.0
Qwen/Qwen3-Embedding-0.6B,PCA,DC,137,0.2564195069978364,0.9888742693984229,0.25011601272110034,0.3570014601042694,0.3147114120820043,0.3056692666021854,716.0
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,6,0.42530310687981304,0.19305335517306194,0.00034926163958425336,0.0005514797883588176,0.3702095681833374,0.36489992455857234,778.0
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,30,0.1891834559328714,0.12288875164469268,0.0009392883406734682,0.006766965485656042,0.23366044367311856,0.22563228431486324,778.0
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,137,0.09581911348108979,0.6800837786310786,0.014143252261698387,0.22005139166080928,0.28483960419738547,0.26080403754372866,778.0
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,6,0.6161097258951499,0.8032097240496585,0.4770407149573658,0.5926656953775433,0.620020465790072,0.5045222990928548,708.0
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,30,0.30814967493308454,0.9388845627131387,0.274244352298956,0.5181716657946431,0.36693755769613584,0.33357011070128306,708.0
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,137,0.2516213612484728,0.987486909588894,0.24185637231792295,0.37528214251350694,0.30380750822298125,0.29702396869922354,708.0
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,6,0.5123558396287379,0.7819920696723146,0.37030915651042207,0.49054279464585265,0.6185051395919836,0.49848070581492004,726.0
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,30,0.305456625900117,0.9425051242805869,0.27486996472390746,0.48371474169794354,0.3650627446291494,0.3363654486666202,726.0
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,137,0.20336325900376684,0.9878359872183884,0.1963904907045621,0.29193854554178567,0.24571810674640013,0.266290687749693,726.0
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,6,0.49872004162974787,0.5475372125703749,0.19674061584103517,0.42277896880163934,0.5971729910476457,0.4854424888914387,764.0
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,30,0.31300486779473646,0.7455671616408439,0.14589659221545645,0.5157812890472924,0.3494004279431649,0.3215437613694664,764.0
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,137,0.12578092281048503,0.8475649597665655,0.03832201004738042,0.34225837587281416,0.27144151392427307,0.27797485788701404,764.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,6,0.5079510368023524,0.8074702612711796,0.3879334517872882,0.5287567760627893,0.6045927412929335,0.49564616140918444,698.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,30,0.3955732862255514,0.9502967159850703,0.36896246216170836,0.5783451065722656,0.42885094598807416,0.38002544008317585,698.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,137,0.34530377199713425,0.9896887838672431,0.3377189081854752,0.4588266209990622,0.3942255864027992,0.37113488462602295,698.0
