embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1,TED
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,6,0.47644894912692715,0.7989581375365861,0.3519027661062354,0.5130563353519934,0.5578559579108522,0.4816358871962485,686
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,30,0.3680378261069231,0.9523106253859993,0.34320125524155637,0.5553888310017732,0.40974856824881156,0.3734764495138844,686
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,137,0.3923572382938758,0.9909374076958192,0.38680200404354015,0.5084532348916916,0.5027294977542854,0.4048307357100149,686
Qwen/Qwen3-Embedding-0.6B,PCA,DC,6,0.45159861759041264,0.7973738621411884,0.3273237850540382,0.42481133193109183,0.47516492911042507,0.394013493169422,716
Qwen/Qwen3-Embedding-0.6B,PCA,DC,30,0.3408537743191747,0.9492673845134842,0.31447205312734827,0.5029120575848169,0.3599499308124649,0.31431924198351685,716
Qwen/Qwen3-Embedding-0.6B,PCA,DC,137,0.2564195069978364,0.9888742693984229,0.25011601272110034,0.3570014601042694,0.29152153259197666,0.30569862430716377,716
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,6,0.42530310687981304,0.19305335517306194,0.00034926163958425336,0.0005514797883588176,0.3634996454821786,0.36341820559156507,778
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,30,0.1891834559328714,0.12288875164469268,0.0009392883406734682,0.006766965485656042,0.261153141889062,0.2343326444017167,778
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,137,0.09581911348108979,0.6800837786310786,0.014143252261698387,0.22005139166080928,0.28717354492535585,0.26929530517487843,778
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,6,0.6161097258951499,0.8032097240496585,0.4770407149573658,0.5926656953775433,0.6182168729637224,0.488310593398351,708
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,30,0.30814967493308454,0.9388845627131387,0.274244352298956,0.5181716657946431,0.36260752816214936,0.33440461873015975,708
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,137,0.2516213612484728,0.987486909588894,0.24185637231792295,0.37528214251350694,0.3120512651523538,0.3007419406465996,708
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,6,0.5123558396287379,0.7819920696723146,0.37030915651042207,0.49054279464585265,0.6200796894844707,0.4905368314273842,726
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,30,0.305456625900117,0.9425051242805869,0.27486996472390746,0.48371474169794354,0.35329180736725996,0.3434953033826926,726
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,137,0.20336325900376684,0.9878359872183884,0.1963904907045621,0.29193854554178567,0.24561360616226444,0.2584729130991982,726
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,6,0.49872004162974787,0.5475372125703749,0.19674061584103517,0.42277896880163934,0.5935851602966383,0.49378214717638524,764
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,30,0.31300486779473646,0.7455671616408439,0.14589659221545645,0.5157812890472924,0.3258599177826163,0.30715744659909205,764
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,137,0.12578092281048503,0.8475649597665655,0.03832201004738042,0.34225837587281416,0.2657550215657106,0.27537640758494547,764
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,6,0.5079510368023524,0.8074702612711796,0.3879334517872882,0.5287567760627893,0.6113549969271626,0.48863032947032636,698
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,30,0.3955732862255514,0.9502967159850703,0.36896246216170836,0.5783451065722656,0.4125565143187585,0.37802888733244233,698
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,137,0.34530377199713425,0.9896887838672431,0.3377189081854752,0.4588266209990622,0.39673909055207496,0.3645876751236034,698
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,6,0.4018049782248287,0.7421972199099559,0.2379220695753987,0.4249377604160009,0.4636145262869226,0.4202256444236983,722
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,30,0.3450278564770113,0.9481440706031883,0.31791274690465743,0.5138237563329254,0.35430476973029146,0.30130650688089994,722
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,137,0.24165190375178594,0.9889413997117872,0.23577158591746344,0.3451855657202083,0.2819704797519523,0.2811584413824123,722
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,6,0.47703406160304457,0.5451607994772786,0.1774010851438107,0.41801811801330024,0.5567927547568994,0.4992819638567269,750
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,30,0.3530956604775123,0.8883264860413702,0.25844938856184996,0.5702658217574259,0.41508836144927147,0.3738907837286073,750
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,137,0.27304192946435557,0.9738460299132676,0.21215351213919764,0.47483415479533725,0.3545948683012579,0.36247632949147557,750
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,6,0.4618022273849297,0.8046731648810004,0.3424796059633267,0.46533832798202496,0.5207593294197493,0.45809570035982,688
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,30,0.36843131009321245,0.9518496639008978,0.3433905943874286,0.5557725511726287,0.4281281151496952,0.38758528515498675,688
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,137,0.3966897444442058,0.9910806190309963,0.39140319662152917,0.5140042989408884,0.44746707963732363,0.39976017865817687,688
Qwen/Qwen3-Embedding-0.6B,Raw,DC,6,0.4497921825666555,0.797320157890497,0.32557166586883307,0.4598628753668238,0.472409309635333,0.39198669460779956,732
Qwen/Qwen3-Embedding-0.6B,Raw,DC,30,0.3889303974204016,0.9524046078247094,0.3641407117188342,0.5440655412480807,0.3729615437148765,0.3290107010686728,732
Qwen/Qwen3-Embedding-0.6B,Raw,DC,137,0.27303533253507967,0.98873553341747,0.2658790156430329,0.3738924698800793,0.3192455682188313,0.3233086448704712,732
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,6,0.42530310687981304,0.19305335517306194,0.00034926163958425336,0.0005514797883588176,0.32814927365644986,0.34719520413731453,778
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,30,0.18888089261993046,0.12551130922012477,0.0009364830252352482,0.007824129802429913,0.22819057785186161,0.21324053663597908,778
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,137,0.08917519387369348,0.636825004699122,0.010657662631738124,0.1884658734935659,0.29076133445873165,0.26649462792122247,778
Qwen/Qwen3-Embedding-0.6B,TriMAP,Agglomerative,6,0.563691840342877,0.8290906975287095,0.4569160213783652,0.5637700491289228,0.6373598509885946,0.5367377101226669,700
Qwen/Qwen3-Embedding-0.6B,TriMAP,Agglomerative,30,0.4100776082209633,0.9537472140919954,0.3859411156245477,0.5592325521128356,0.4453285617127954,0.3960706888728785,700
Qwen/Qwen3-Embedding-0.6B,TriMAP,Agglomerative,137,0.33701142802314965,0.9890980371096372,0.3276044763221322,0.4548466308437332,0.3872764276690337,0.35409170416932545,700
Qwen/Qwen3-Embedding-0.6B,TriMAP,DC,6,0.4069613871455613,0.7814550271654002,0.27300584167882536,0.36915860958148705,0.46575520752165867,0.38731921631591626,714
Qwen/Qwen3-Embedding-0.6B,TriMAP,DC,30,0.28616922166407666,0.9441028257386572,0.25704504812362494,0.46338247989075204,0.2799881471474002,0.2538443306413279,714
Qwen/Qwen3-Embedding-0.6B,TriMAP,DC,137,0.20392823851535366,0.9884535861013399,0.19790122711715036,0.29264195527946624,0.23993492584754555,0.23691003072032168,714
Qwen/Qwen3-Embedding-0.6B,TriMAP,HDBSCAN,6,0.4524469246370277,0.5099129096067954,0.13888510496821596,0.33745284269647624,0.5336823847231336,0.4596147154665082,748
Qwen/Qwen3-Embedding-0.6B,TriMAP,HDBSCAN,30,0.33437406542613973,0.8268574957707903,0.19784925807632808,0.5648353284410824,0.41775678202014616,0.36568584178705704,748
Qwen/Qwen3-Embedding-0.6B,TriMAP,HDBSCAN,137,0.2515230532964188,0.971120539190677,0.18902913183759731,0.45335212825163296,0.35457677196705606,0.33510769885190983,748
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,6,0.6551670837830008,0.8637254638704653,0.569311044825279,0.6312890903292134,0.699725159964695,0.581131281714135,692
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,30,0.4409103401508352,0.954740742729787,0.41685055496667295,0.6105410380327061,0.49488175158643494,0.43546413437997067,692
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,137,0.39730602217919503,0.9909374076958192,0.3915264079412067,0.5121369040317016,0.4700896951862667,0.41899844793900287,692
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,6,0.5402156652119025,0.8296948703489881,0.43569533863904797,0.5360737643449921,0.6050585283037826,0.4969098343554758,720
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,30,0.35944273308613034,0.9512499664348433,0.3340872715939016,0.5493957417286147,0.40114535038462845,0.35865586098780855,720
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,137,0.28185604540746845,0.989312854112403,0.2757992488863434,0.39283596317966835,0.33385936298403623,0.3467701660698951,720
