embedding_model,reduction_method,reduction_params,cluster_method,cluster_params,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.01}",Agglomerative,{},58,0.2306693219447137,0.9154248222001885,0.15920092953137827,0.4504058317792248,0.36337817244937526,0.35762506230584584
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.01}",Agglomerative,{},72,0.18679891880172594,0.9138065684942406,0.11592025225113718,0.4121573805591804,0.37563674217551035,0.45417573632918734
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.01}",HDBSCAN,{},58,0.24130036754022172,0.9078329844662333,0.18130086574040127,0.44220998326106997,0.28859236647157216,0.2660734758501829
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.01}",HDBSCAN,{},72,0.1908600425267228,0.9068675814737289,0.12969782766759758,0.4086175986632702,0.3169850234428593,0.42896915903733474
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.1}",Agglomerative,{},58,0.22976184343722192,0.9158059238041611,0.15717835808049993,0.4424987720777061,0.385357932389538,0.3709896567714684
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.1}",Agglomerative,{},72,0.19073197980978424,0.9139836542502622,0.11930429850975327,0.4118661687131662,0.4434297210365047,0.41658164882567905
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.1}",HDBSCAN,{},58,0.22196100388244763,0.8784432774737941,0.1559270788307307,0.4262095505333322,0.27802290675783436,0.26933781090862047
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.1}",HDBSCAN,{},72,0.199553792431142,0.9015321590181126,0.14040185989787277,0.40805680591719,0.3108018905781941,0.4386464029899997
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.5}",Agglomerative,{},58,0.22527383369180565,0.9161201082100058,0.15143117648661134,0.4396953076985846,0.36715598477635775,0.37268609973623346
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.5}",Agglomerative,{},72,0.18151782827713492,0.9142121519999673,0.10975810033629863,0.4087028852073736,0.4411867298869785,0.41016010259233815
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.5}",HDBSCAN,{},58,0.22707123921848174,0.8608815932821662,0.15042028278029876,0.3909090046917311,0.2588123670938247,0.25386290206422807
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 5, 'min_dist': 0.5}",HDBSCAN,{},72,0.2197906293856697,0.8861061127228363,0.1574987283670126,0.3893593780218325,0.26637765450539697,0.4363026455564731
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.01}",Agglomerative,{},58,0.24613016856991435,0.9177081675704569,0.16891870627225847,0.46234706342806664,0.42896048596482683,0.39362889171350024
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.01}",Agglomerative,{},72,0.2054770749467286,0.9160923620546844,0.12737132003603766,0.4292883146007376,0.457598964635686,0.41170783949097345
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.01}",HDBSCAN,{},58,0.28707006470502205,0.9000004080316959,0.23053229954121704,0.461507394164685,0.3777004109866307,0.3521501166246594
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.01}",HDBSCAN,{},72,0.2441273574108078,0.9041345851745763,0.18506785896695116,0.4328476526922196,0.38709599106425774,0.4497824893512897
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.1}",Agglomerative,{},58,0.2468382362654691,0.9172144492184153,0.17151589766084807,0.46454949163687403,0.41897273199576845,0.40795857448268835
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.1}",Agglomerative,{},72,0.19597936826904394,0.915514589173287,0.11984251543048544,0.4272626568502185,0.46153091184376177,0.41279373207098186
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.1}",HDBSCAN,{},58,0.29209116380067107,0.8961771510410929,0.2347604928550198,0.45727916021577697,0.3450948824916495,0.3385265878815194
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.1}",HDBSCAN,{},72,0.32356288542382955,0.9033780944103738,0.2684513966579185,0.4479474452855558,0.3830720723781221,0.4409969175350743
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.5}",Agglomerative,{},58,0.25020740190314755,0.9179717560460097,0.17254386487127635,0.4611919592480278,0.4540667422657439,0.4148890730026114
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.5}",Agglomerative,{},72,0.19658322139654383,0.915635366555274,0.12001513197473125,0.4284609353949712,0.47001459901287457,0.4552031855183459
